

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
066.173  000.058  000.058: require('mason-registry.index')
066.206  000.031  000.031: require('mason-core.functional.list')
066.212  000.273  000.038: require('mason-registry')
066.238  000.025  000.025: require('mason-lspconfig.server_config_extensions')
066.269  000.029  000.029: require('lspconfig.server_configurations.omnisharp')
066.361  000.024  000.024: require('mason-core.functional.number')
066.378  000.074  000.050: require('mason-lspconfig.api.command')
066.406  000.026  000.026: require('lvim.lsp.null-ls')
066.540  000.048  000.048: require('null-ls.methods')
066.549  000.086  000.038: require('null-ls.utils')
066.557  000.126  000.039: require('null-ls.config')
066.597  000.018  000.018: require('null-ls.helpers.cache')
066.625  000.027  000.027: require('null-ls.helpers.diagnostics')
066.645  000.019  000.019: require('null-ls.helpers.formatter_factory')
066.705  000.022  000.022: require('null-ls.logger')
066.731  000.024  000.024: require('null-ls.state')
066.732  000.087  000.040: require('null-ls.helpers.generator_factory')
066.777  000.022  000.022: require('null-ls.helpers.command_resolver')
066.778  000.044  000.022: require('null-ls.helpers.make_builtin')
066.799  000.020  000.020: require('null-ls.helpers.range_formatting_args_factory')
066.800  000.242  000.026: require('null-ls.helpers')
066.853  000.025  000.025: require('null-ls.diagnostics')
066.857  000.056  000.032: require('null-ls.sources')
066.880  000.021  000.021: require('null-ls.builtins')
066.881  000.474  000.029: require('null-ls')
066.926  000.023  000.023: require('cmp_nvim_lsp.source')
066.929  000.046  000.023: require('cmp_nvim_lsp')
067.072  063.884  031.321: sourcing /home/jonatas/.local/share/lunarvim/lvim/init.lua
067.092  000.370: sourcing vimrc file(s)
067.302  000.008  000.008: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
067.572  000.015  000.015: sourcing /home/jonatas/.local/share/lunarvim/lvim/ftdetect/json.lua
067.592  000.013  000.013: sourcing /home/jonatas/.local/share/lunarvim/lvim/ftdetect/plaintex.lua
067.609  000.010  000.010: sourcing /home/jonatas/.local/share/lunarvim/lvim/ftdetect/zig.lua
067.623  000.390  000.344: sourcing /usr/share/nvim/runtime/filetype.lua
067.644  000.011  000.011: sourcing /usr/share/nvim/runtime/filetype.vim
067.840  000.076  000.076: sourcing /usr/share/nvim/runtime/syntax/synload.vim
067.940  000.263  000.187: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
068.616  000.119  000.119: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
068.637  000.005  000.005: sourcing /usr/share/nvim/runtime/plugin/health.vim
068.947  000.117  000.117: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
069.009  000.365  000.248: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
069.107  000.090  000.090: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
069.334  000.220  000.220: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
069.433  000.005  000.005: sourcing /home/jonatas/.local/share/nvim/rplugin.vim
069.437  000.091  000.086: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
